Publication Year,Author,Title,ISBN,Url,Abstract,Author Image,Book Cover,Date,Date Added,Num Pages,Short Title,Series,Publisher,Place,Place 2,Language,Library Catalog,Call Number,Extra,Notes,Automatic Tags,Editor,Series Editor,Translator,Contributor,StoryPoint,StoryPoint2,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,,,
2003,"Abouzeid, Leila",The last chapter,978-977-424-775-0,https://www.goodreads.com/book/show/723275.The_Last_Chapter,"This thought-provoking, semi-autobiographical book tells the story of Aisha, a young Moroccan woman, and her struggle to find an identity in the Morocco of the second half of the twentieth century. Charting Aisha's path through adolescence and young adulthood up to the present, her story is told through a series of flashbacks, anecdotes, and glimpses of the past, all bound up with a strong, often strident, always compelling worldview that takes in Morocco, its politics, people, and traditions, Islam, and marriage. Male-female relationships feature strongly in the narrative, and by exposing us to Aisha's troubled romantic encounters, Abouzeid uncovers the shifting male/female roles within the Morocco of her lifetime. Many aspects of Moroccan society are also explored through the other clashes of the modern and the traditional in Aisha's life. The workplace and corruption, the struggle for women's rights, the clash between Islamic and Western values as well as with the older practices of sorcery and witchcraft, and the conflict between colonial and native language use are all intertwined in a narrative that is both forceful and often poetic. Through a series of tales of emotional disasters, the reader becomes aware not only of Aisha's frustrations but also of her deep commitment to her country and her struggle to defeat suffering, uphold justice, and retain a fierce independence as a woman and a clarity of conviction in her life. Leila Abouzeid is a pioneer among her Moroccan contemporaries in that she writes in Arabic rather than in French and is the first Moroccan woman writer of literature to be translated into English. This stimulating and revealing book adds a new perspective to Maghrebi women's writing, and is an important addition to the growing body of Arab women's writing in translation",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1393227462l/723275.jpg,2003,2/23/2022 4:46,,,,American University in Cairo Press,Egypt - Cairo,New York,Translated from the Arabic,Open WorldCat,,OCLC: 1099628546,,,,,"Liechety, John",,,,,,,,,,,,
2003,"Ashour, Radwa",Granada,978-0-8156-0765-6,https://www.goodreads.com/book/show/218562.Granada,"Radwa Ashour skillfully weaves a history of Granadan rule and an Arabic world into a novel that evokes cultural loss and the disappearance of a vanquished population. The novel follows the family of Abu Jaafar, the bookbinder, his wife, widowed daughter-in-law, her two children, and his two apprentices as they witness Christopher Columbus and his entourage in a triumphant parade featuring exotic plants and animals and human captives from the New World. Embedded in the narrative is the preparation for the marriage of Saad, one of the apprentices, and Saleema, Abu Jaafar's granddaughter -- a scenario that is elegantly revealed in a number of parallel scenes. As the new rulers of Granada confiscate books and officials burn the collected volumes, Abu Jaafur quietly moves his rich library out of town. Persecuted Muslims fight to form an independent government, but increasing economic and cultural pressures on the Arabs of Spain and Christian rulers culminate in Christian conversions and Muslim uprisings. A tale that is both vigorous and heartbreaking, this novel will appeal to general readers of Spanish and Arabic literature as well as anyone interested in Christian-Muslim relations",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386925554l/218562.jpg,2003,2/14/2022 4:03,229,,Middle East literature in translation,Syracuse University Press,"US - Syracuse, N.Y",,eng,Library of Congress ISBN,PJ7814.S514 G4813 2003,,,Fiction; Granada (Spain); History,,,"Granara, William",,,,,,,,,,,,
2003,"Khoury-Ghata, Vénus",She says,978-1-55597-383-4,https://www.goodreads.com/book/show/797853.She_Says,"Award-winning American poet Marilyn Hacker offers the brilliance of Lebanese poet Vénus Khoury-Ghata in an exquisite translation She says the earth is so vast one can't help but be lost like water from a broken jug There is no fortress against the wind the winter wanderer must count on the compassion of walls-from ""She Says"" Translated by celebrated American poet Marilyn Hacker, Vénus Khoury-Ghata's She Says explores the mythic and confessional attractions and repulsions of the French and Arabic imaginations with poems that open like ""a suitcase filled with alphabets."" Sex, barrenness, grief, and death-the backdrop of a war-ravaged country-are always at the edges, made increasingly urgent by lines often jagged and spare, their music unhaltered. Khoury-Ghata is a vital voice in both her native and adopted languages and we are pleased to present this important collection in English.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388447744l/797853.jpg,2003,2/25/2022 14:47,163,,,Graywolf Press,"US - Saint Paul, Minn",,eng fre,Library of Congress ISBN,PQ2671.H6 E4413 2003,,,,,,"Hacker, Marilyn",,,,,,,,,,,,
2003,"Mernissi, Fatima",Beyond the veil: male-female dynamics in a modern Muslim society,978-0-86356-441-3,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383166839l/537182.jpg,2003,3/25/2022 3:40,198,Beyond the veil,,Saqi Books,UK - London,,eng,K10plus ISBN,,,,,,,,,,,,,,,,,,,
2003,"Mernissi, Fatima",Islam and democracy: fear of the modern world,978-0-7382-0745-2,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388700297l/279600.jpg,2003,3/25/2022 3:49,197,Islam and democracy,,Basic Books,"US - Cambridge, Mass",,eng,K10plus ISBN,,,,,,,"Lakeland, Mary Jo",,,,,,,,,,,,
2004,"Mosteghanemi, Ahlem",Chaos of the senses,978-977-424-670-8,https://www.goodreads.com/book/show/426500.Chaos_of_the_Senses,"Ahlam Mosteghanemi's second novel picks up where Memory in the Flesh left off, with the story of love set in the battered and bruised Algeria of the1990s. Mosteghanemi takes her readers through the streets of suspicion and suspense, and the ups and downs of a forbidden love affair, through a story within a story, as a writer stuck in a loveless marriage to an important military man inadvertently writes what eventually comes true. She begins--after a period of not writing--by penning the narrative of a mysterious man who courts the object of his desire through deceptive words, then she helplessly follows the path of her fictitious character only to find that the mystery man exists and it is he who has led her to his door and into his life. One twist leads to the next, as the question remains of which man the writer was destined to meet and fall in love with--the mysterious artist or the doomed journalist. This lyrical adventure teases the reader with facts for fiction and fiction for facts. The backdrop of political chaos creates a sense of foreboding and fear for two powerless lovers. But where is reality and where is fantasy?",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348574664l/426500.jpg,2004,2/14/2022 3:54,224,,Modern Arabic writing,American University in Cairo Press,Egypt - Cairo,New York,eng,Library of Congress ISBN,PJ7846.O88 F39 2004,,,,,,"Sreih, Baria Ahmar",,,,,,,,,,,,
2005,"Abouzeid, Leila",The Director and other stories from Morocco,978-0-292-71265-2,https://www.goodreads.com/book/show/170811.The_Director_and_Other_Stories_from_Morocco,"New stories by Leila Abouzeid, the noted Moroccan writer, constitute an event for both East and West, for, as in her critically acclaimed novel, Year of the Elephant, the author cuts across cultural and national boundaries to offer fiction that has meaning for both Western and Middle Eastern readers. The stories in this volume deal with issues both traditional and modern-relations between parents and children, between husbands and wives, and between citizens of newly independent Morocco and its new nationalist representative government. Independence from French colonial rule has brought many changes to Moroccosome more beneficial than others. Women have entered the work force in great numbers, a development which has brought them new freedoms, but which has also caused problems within the traditional family. Abouzeid shows us how these changes have affected ordinary men and women, how small everyday events loom large in individual lives. To her crisp style, reminiscent of some Western realist novelists, she adds elements of Arabic fictionthe oral story-telling technique, for example. Abouzeid writes first in Arabic, which she has stated is a political choice. This makes her a literary pioneer in North Africa, where, until recently, most authors wrote in French. Elizabeth Warnock Fernea has written an introduction for this book, setting the stories in historical context.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347764226l/170811.jpg,2005,2/25/2022 3:24,112,,Modern Middle East literatures in translation series,Center for Middle Eastern Studies at the University of Texas,"US - Austin, TX",,eng,Library of Congress ISBN,PJ7808.Z22 D57 2005,,,,,,"Fernea, Elizabeth Warnock",,,,,,,,,,,,
2005,"Barakat, Hoda",Disciples of passion,978-0-8156-0833-2,https://www.goodreads.com/book/show/1139212.Disciples_of_Passion?from_search=true&from_srp=true&qid=BlGtIwo2eP&rank=1,"Disciples of Passion chronicles the civil war in Lebanon through the troubled and sometimes quasi-hallucinatory mind of a young man who has experienced kidnapping, hostage exchange, and hospital internment. As he recalls his village childhood and recounts his relationship with a woman of a different faith, his fragmented narrative probes the uncertainties of political testimonial and ascriptions of responsibility in wartime. Marilyn Booth's fluid translation brings to an English audience one of the Arabic language's finest contemporary novelists. Widely celebrated in France, where she currently lives in exile (from Lebanon), Hoda Barakat writes from personal experience: her novels focus on the civil war in Lebanon and how it shaped the lives of people marginalized by the conflict. Compelling scenarios of war and its aftermath of suffering and destruction are integrated into subtle psychological portraitswith protagonists often propelled into unexpected action.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348826597l/1139212.jpg,2005,2/14/2022 2:50,136,,Middle East literature in translation,Syracuse University Press,US - Syracuse,,eng,Library of Congress ISBN,PJ7816.A672 A6413 2005,OCLC: ocm60776775,,,,,"Booth, Marilyn",,,,,,,,,,,,
2005,"Djebar, Assia",Children of the New World: a novel of the Algerian War,978-1-55861-510-6 978-1-55861-511-3,https://www.goodreads.com/book/show/720926.Children_of_the_New_World,"Assia Djebar, one of the most distinguished woman writers to emerge from the Arab world, wrote Children of the New World following her own involvement in the Algerian resistance to colonial French rule. Like the classic film The Battle of Algiers—enjoying renewed interest in the face of world events—Djebar’s novel sheds light on current world conflicts as it reveals a determined Arab insurgency against foreign occupation, from the inside out. However, Djebar focuses on the experiences of women drawn into the politics of resistance. Her novel recounts the interlocking lives of women in a rural Algerian town who find themselves joined in solidarity and empower each other to engage in the fight for independence. Narrating the resistance movement from a variety of perspectives—from those of traditional wives to liberated students to political organizers—Djebar powerfully depicts the circumstances that drive oppressed communities to violence and at the same time movingly reveals the tragic costs of war.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390324529l/720926.jpg,2005,2/23/2022 18:00,233,Children of the New World,,The Feminist Press at the City University of New York,US - New York,,eng,Library of Congress ISBN,PQ3989.2.D57 E513 2005,,,,,,"De Jager, Marjolijn",,,,,,,,,,,,
2005,"El Saadawi, Nawal",Two women in one,978-0-86356-562-5 978-0-86356-026-2,https://www.goodreads.com/book/show/191646.Two_Women_in_One?ac=1&from_search=true&qid=h0QKJPBKuH&rank=1,"Two Women in One is the story of countless women in the Third World, and speaks of their quest for emancipation and dignity.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348376367l/191646.jpg,2005,2/14/2022 3:41,,,,Saqi Books,UK - London,,Translated from the Arabic,Open WorldCat,,OCLC: 1291971654,,,,,,,,,,,,,,,,,
2005,"Khalifeh, Sahar",Wild thorns,978-0-86356-537-3,https://www.goodreads.com/book/show/218442.Wild_Thorns,"A young Palestinian named Usama returns from working in the Gulf to support the resistance movement. His mission is to blow up buses transporting Palestinian workers into Israel. Shocked to discover that many of his fellow citizens have adjusted to life under military rule, Usama exchanges harsh words with his friends and family. Despite uncertainty, he sets out to accomplish his mission … with disastrous consequences. Originally published in Jerusalem, Wild Thorns was the first Arab novel to offer a glimpse of social and personal relations under Israeli occupation. Featuring unsentimental portrayals of everyday life, its deep sincerity, uncompromising honesty and rich emotional core plead elegantly for the cause of survival in the face of oppression. Sahar Khalifeh was born in Nablus in 1941. She entered into a traditional arranged marriage at eighteen, and after thirteen years left her husband and began writing. Her first novel was confiscated by Israeli authorities; the second was published in Cairo. She taught at the University of Iowa and at Palestine’s Bir Zeit University, and founded the Women's Affairs Centres in Nablus, Gaza City and Amman. Wild Thorns is her third novel.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385155065l/218442.jpg,2005,2/23/2022 5:00,,,,Saqi Books,UK - London,,Translated from the Arabic,Open WorldCat,,OCLC: 59878269,,,,,"Le Gassick, Trevor; Fernea, Elizabeth Warnock",,,,,,,,,,,,
2005,"Khalifeh, Sahar",The Inheritance,978-977-424-939-6,https://www.goodreads.com/book/show/218443.The_Inheritance,"In this powerful novel, acclaimed Palestinian author Sahar Khalifeh examines the stark realities in the lives of Palestinian women. Through her protagonist, Zeynab, born to an American mother and a Palestinian father, Khalifeh illuminates the disorienting experience of living between two worlds, and the search for identity that mirrors the Palestinians' own quest for nationhood. Set against the emotionally charged background of the early 1990s--when the Gulf War and the Oslo Accords fundamentally shifted the political landscape--The Inheritance takes as its subject the fate of young Palestinian women who supported their families for decades working elsewhere in the Middle East. In vivid prose, Khalifeh traces the disruption caused by the Gulf War on the life of these women, as Zeynab returns to her homeland and tries to adapt to her new life on the West Bank after years spent in Kuwait. In her previous novels, Sahar Khalifeh has established herself as the premier female novelist of the Palestinian diaspora; with The Inheritance, she breaks new ground in giving voice to these Palestinian women and their return from economic exile. With its critical portrayal of the Palestinian Authority, its mistakes, and limitations, The Inheritance offers a surprising look at the realities of Palestinian life and society. As the story of an immigrant torn between two cultures and struggling to adapt to both, Zeynab's tale touches on universal themes that will resonate with readers everywhere.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1393221479l/218443.jpg,2005,2/23/2022 5:00,259,,Modern Arabic literature,American University in Cairo Press,Egypt - Cairo,New York,eng,Library of Congress ISBN,PJ7842.H2938 M5713 2005,OCLC: ocm62887830,,,,,"Bamia, Aida A.",,,,,,,,,,,,
2005,"Khedairi, Betool",Absent,978-977-424-963-1,https://www.goodreads.com/book/show/1446454.Absent,"Presents a funny portrait of the inhabitants of an apartment block in Baghdad, juxtaposing the days of plenty and the tragic state of the country during the period of wars and sanctions. Transcending its underlying layer of betrayal and mistrust, this is a novel about people's quirks, their enduring emotions, and about survival.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349047612l/1446454.jpg,2005,2/23/2022 4:11,214,,Modern Arabic literature,American University in Cairo Press,Egypt - Cairo,,eng,K10plus ISBN,,,,,,,"Jamil, Muhayman",,,,,,,,,,,,
2005,"Khoury-Ghata, Vénus",A house at the edge of tears,978-1-55597-434-3,https://www.goodreads.com/book/show/46447.A_House_at_the_Edge_of_Tears,"In the city of Beirut, five shabby dwellings circle a courtyard with a pomegranate tree weeping blood red fruit. The residents hear screams in the night as a boy is tossed out into the street by his father—a punishment for masturbating in his sleep. A crime not worthy of the punishment: the neighbors gossip and decide that he must have tried to rape his sisters. ""Small-boned with long, silky lashes, no one but the devil could camouflage evil so seductively."" The poems he writes are perhaps an even greater crime to his father, but ultimately a gift to his eldest sister, who narrates their story with a combination of brutal truth and stunning prose. As her brother becomes more and more lost to his family and to himself, we also learn of a Contessa who teaches tango, a family who spends every Sunday in search of buried treasure, and the miracle of a weeping Madonna statue that cries when human tears run dry. In the harrowing and mesmerizing novel A House at the Edge of Tears, celebrated novelist and poet, Khoury-Ghata, presents the disintegration of a family and a country—both ruled by a fury fueled by fear",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1316636119l/46447.jpg,2005,2/25/2022 14:46,111,,A Lannan translation series selection,Graywolf Press,"US - Saint Paul, Minn",,eng,Library of Congress ISBN,PQ2671.H6 M34513 2005,,,,,,"Hacker, Marilyn",,,,,,,,,,,,
2005,"Mamdouh, Alia",Naphtalene: a novel of Baghdad,978-1-55861-493-2 978-1-55861-492-5,https://www.goodreads.com/book/show/642182.Naphtalene,"Seen through the eyes of a strong-willed and perceptive young girl, Naphtalene beautifully captures the atmosphere of Baghdad in the 1940s and 1950s. Through her rich and lyrical descriptions, Alia Mamdouh vividly recreates a city of public steam baths, roadside butchers, and childhood games played in the same streets where political demonstrations against British colonialism are beginning to take place. At the heart of the novel is nine-year-old Huda, a girl whose fiery, defiant nature contrasts sharply with her own inherent powerlessness. Through Mamdouh's strikingly inventive use of language, Huda's stream-of-consciousness narrative expands to take in the life not only of a young girl and her family, but of her street, her neighborhood, and her country. Alia Mamdouh, winner of the Naguib Mahfouz Award in Arabic Literature, is a journalist, essayist and novelist living in exile in Paris. Long banned from publishing in Saddam Hussein's Iraq, she is the author of essays, short stories, and four novels, of which Naphtalene is the most widely acclaimed and translated.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1354209371l/642182.jpg,2005,2/23/2022 4:13,214,Naphtalene,Women writing the Middle East,The Feminist Press at the City University of New York,US - New York,,eng,K10plus ISBN,,,,,,,"Theroux, Peter","Haidar, F. A.; Cixous, Hélène",,,,,,,,,,,
2005,"Mikhail, Dunya",The war works hard,978-0-8112-1621-0,https://www.goodreads.com/book/show/630633.The_War_Works_Hard,"Revolutionary poetry by an exiled Iraqi woman. Winner of a 2004 PEN Translation Fund Award. ""Yesterday I lost a country,"" Dunya Mikhail writes in The War Works Hard, a revolutionary work by an exiled Iraqi poether first to appear in English. Amidst the ongoing atrocities in Iraq, here is an important new voice that rescues the human spirit from the ruins, unmasking the official glorification of war with telegraphic lexical austerity. Embracing literary traditions from ancient Mesopotamian mythology to Biblical and Qur'anic parables to Western modernism, Mikhail's poetic vision transcends cultural and linguistic boundaries with liberating compassion.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348475245l/630633.jpg,2005,2/24/2022 22:23,80,The war works hard =,,New Directions,"US - New York, NY",,eng,Library of Congress ISBN,PJ7846.I392 H3713 2005,,,,,,"Winslow, Elizabeth",,,,,,,,,,,,
2006,"El Badry, Hala",A certain woman,978-977-416-028-8,goodreads.com/book/show/2592869-a-certain-woman,"In this prize-winning novel, Nahid is a woman determined to go on a journey of self discovery and understanding. As we accompany her in her sometimes delirious, sometimes lucid journey, we are given rare glimpses of the inner thoughts and feelings of a woman confronting questions of love and intimacy within and outside of marriage. It is a story of one woman's quest for liberation, not from a repressive society or a male-dominated world that is easy and has been done many times before but from self-imposed taboos that inhibit a woman's ability to find fulfillment and to confront the many imponderables surrounding sexuality, desire, and love. Stuck by conscious choice to keep up the genteel appearances of her middle-class family in a loveless marriage to Mustafa, the forty-something Nahid finds love and sex with novelist and journalist Omar himself trapped in a loveless, but not sexless, marriage to Maggie. Although their love story is at the very heart of the novel, we are given broad glimpses of the larger picture of the world outside through Nahid's work as an archaeologist and Omar's as a journalist. The novel was well received by women readers, critics, and reviewers and by a majority of the male audience, while a vociferous minority of male critics felt scandalized by it, finding it unseemly that such issues should be raised by a woman. Now English readers can judge for themselves.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1393220275l/2592869.jpg,2006,2/25/2022 15:01,216,,Modern Arabic Literature,American University in Cairo Press,Egypt - Cairo,,,K10plus ISBN,,,,,,,,,,,,,,,,,,,
2006,"El Badry, Hala",Muntaha: a modern Arabic novel,978-977-416-005-9,https://www.goodreads.com/book/show/2738235-muntaha,"Set in the sleepy Egyptian village of Muntaha during the late 1940s, this novel paints a vibrant portrait of rural life in Egypt that is both moving and memorable. Between the turbulent events of 1948 and the final years of the British presence in Egypt, the village's inhabitants find themselves caught up against their will in the swirl of larger world events, although their daily lives, concerns, and beliefs are grounded in the timeless nature of a rural past. Hala El Badry's masterful narrative depicts, in intimate detail, her characters' relationships not only to each other but to the natural environment that surrounds them: from fishing on the Nile and cotton and corn harvests, to donkeys and sparrows gone tipsy on overripe fruit. The trials and fortunes of Taha Musaylihi, the mayor of Muntaha, together with those of his extended family, form the backbone of this tale of real life in the guise of fiction. Confronted with the fear and injustices born of war and foreign occupation, as well as the insecurity of their dependency on Nature and her forces, Taha joins the village farmers in valiant defiance of their British occupiers.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347232769l/2738235.jpg,2006,2/25/2022 15:01,215,Muntaha,Modern Arabic literature,American University in Cairo Press,Egypt - Cairo,,eng,K10plus ISBN,,,,,,,"Roberts, Nancy",,,,,,,,,,,,
2006,"Nimr, Sonia",A little piece of ground,978-1-931859-38-7,https://www.goodreads.com/book/show/186050.A_Little_Piece_of_Ground,"During the Israeli occupation of Ramallah in the West Bank of Palestine, twelve-year-old Karim and his friends create a secret place for themselves where they can momentarily forget the horrors of war",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388738264l/186050.jpg,2006,2/25/2022 14:23,216,,,Haymarket Books,"US - Chicago, IL",,,Library of Congress ISBN,PZ7.L1579 Li 2006,,,Fiction; Juvenile fiction; Arab-Israeli conflict; West Bank,,,"Laird, Elizabeth",,,,,,,,,,,,
2007,"Al sanea, Rajaa",Girls of Riyadh,978-1-905490-21-9 978-1-905490-20-2 978-0-14-311347-8,https://www.goodreads.com/book/show/1476261.Girls_of_Riyadh,"When Rajaa Alsanea boldly chose to open up the hidden world of Saudi women—their private lives and their conflicts with the traditions of their culture—she caused a sensation across the Arab world. Now in English, Alsanea’s tale of the personal struggles of four young upper-class women offers Westerners an unprecedented glimpse into a society often veiled from view. Living in restrictive Riyadh but traveling all over the globe, these modern Saudi women literally and figuratively shed traditional garb as they search for love, fulfillment, and their place somewhere in between Western society and their Islamic home.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1564603744l/1476261.jpg,2007,2/23/2022 4:10,,,,Fig Tree,UK - London,,Translated from the Arabic,Open WorldCat,,OCLC: 80332730,,,,,"Booth, Marilyn",,,,,,,,,,,,
2007,"Ashour, Radwa",Siraaj: an Arab tale,978-0-292-71752-7,https://www.goodreads.com/book/show/3377038-siraaj,"Set in the late nineteenth century on a mythical island off the coast of Yemen, Radwa Ashour’s Siraaj: An Arab Tale tells the poignant story of a mother and son as they are drawn inextricably into a revolt against their island’s despotic sultan. Amina, a baker in the sultan’s palace, anxiously awaits her son’s return from a long voyage at sea, fearful that the sea has claimed Saïd just as it did his father and grandfather. Saïd, left behind in Alexandria by his ship as the British navy begins an attack on the city, slowly begins to make his way home, witnessing British colonial oppression along the way. Saïd’s return brings Amina only a short-lived peace. The lessons he learned from the Egyptians’ struggle against the British have radicalized him. When Saïd learns the island’s slave population is planning a revolt against the sultan’s tyrannical rule, both he and Amina are soon drawn in. Beautifully rendered from Arabic into English by Barbara Romaine, Radwa Ashour’s novella speaks of the unity that develops among varied peoples as they struggle against a common oppressor and illuminates the rich cultures of both the Arab and African inhabitants of the island. Sub-Saharan African culture is a subject addressed by few Arabic novelists, and Radwa Ashour’s novella does much to fill that void.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348699723l/3377038.jpg,2007,2/14/2022 4:01,87,Siraaj,Modern Middle East literatures in translation series,Center for Middle Eastern Studies at the University of Texas,"US - Austin, TX",,eng,Library of Congress ISBN,PJ7814.S514 S5713 2007,,,,,,"Romaine, Barbara",,,,,,,,,,,,
2007,"Bakr, Salwa",The man from Bashmour,978-977-416-109-4,https://www.goodreads.com/book/show/1177207.The_Man_from_Bashmour,"Egypt in the ninth century ad: an Arab, Muslim ruling class governs a country of mostly Coptic-speaking Christians. After an exorbitant land tax imposed by the caliph's governors sparks a peasant revolt, Budayr is dispatched to the marshlands of the Nile Delta as an escort for a church-appointed emissary whose mission is to persuade the rebels to lay down their arms. But he is soon caught up in a swirl of events and concerns that alter the course of his life irrevocably, setting him on a path he could never have foreseen. The events that befall him and the insights he gains from them bring about a gradual but inexorable personal transformation, through which his eyes are opened to the fundamental commonalities practical, spiritual, and existential that bind Muslims and Copts, and he emerges as an emissary of a new sort. Hailed as a groundbreaking treatment of otherwise neglected aspects of medieval history, The Man from Bashmour is an exploration of the Egyptian character past and present, and offers insights into Egyptian thought on everything from love, philosophy, and religion to life and death.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1393222445l/1177207.jpg,2007,2/25/2022 2:54,316,,,American University in Cairo Press,Egypt - Cairo,,eng,K10plus ISBN,,,,,,,"Roberts, Nancy",,,,,,,,,,,,
2007,"El Saadawi, Nawal",The Hidden Face of Eve: Women in the Arab World,978-1-84277-874-6 978-1-84277-875-3,https://www.goodreads.com/book/show/118101.The_Hidden_Face_of_Eve,"This powerful account of brutality against women in the Muslim world remains as shocking today as when it was first published, more than a quarter of a century ago. It was the horrific female genital mutilation that she suffered aged only six, which first awakened Nawal el Saadawi's sense of the violence and injustice which permeated her society. Her experiences working as a doctor in villages around Egypt, witnessing prostitution, honour killings and sexual abuse, inspired her to write in order to give voice to this suffering. She goes on explore the causes of the situation through a discussion of the historical role of Arab women in religion and literature.Saadawi argues that the veil, polygamy and legal inequality are incompatible with the just and peaceful Islam which she envisages.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1317070802l/118101.jpg,2007,2/14/2022 4:04,,The Hidden Face of Eve,,Zed Books,,,French,Open WorldCat,,OCLC: 1136068845,,,,,,,,,,,,,,,,,
2007,,Words without borders: the world through the eyes of writers: an anthology,978-1-4000-7975-9,https://www.goodreads.com/book/show/305532.Words_Without_Borders,"Featuring the work of more than 28 writers from upwards of 20 countries, Words Without Borders: The World through the Eyes of Writers transports us to the frontiers of the new literature for the twenty-first century. In these pages, some of the most accomplished writers in world literature–among them Edwidge Danticat, Ha Jin, Cynthia Ozick, Javier Marias, and Nobel laureates Wole Soyinka, Günter Grass, Czeslaw Milosz, Wislawa Szymborska, and Naguib Mahfouz–have stepped forward to introduce us to dazzling literary talents virtually unknown to readers of English. Most of their work–short stories, poems, essays, and excerpts from novels–appears here in English for the first time. The Chilean writer Ariel Dorfman introduces us to a story of extraordinary poise and spiritual intelligence by the Argentinian writer Juan Forn. The Romanian writer Norman Manea shares with us the sexy, sinister, and thrillingly avant garde fiction of his homeland’s leading female novelist. The Indian writer Amit Chaudhuri spotlights the Bengali writer Parashuram, whose hilarious comedy of manners imagines what might have happened if Britain had been colonized by Bengal. And Roberto Calasso writes admiringly of his fellow Italian Giorgio Manganelli, whose piece celebrates the Indian city of Madurai. Every piece here–be it from the Americas, Africa, Europe, the Middle East, South Asia, East Asia, Southeast Asia, or the Caribbean–is a discovery, a colorful thread in a global weave of literary exchange. Edited by Samantha Schnee, Alane Salierno Mason, and Dedi Felman",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320412378l/305532.jpg,2007,2/25/2022 14:09,367,Words without borders,,Anchor Books,US - New York,,,Library of Congress ISBN,PN6019 .W67 2007,OCLC: ocm70407731,,,"Mason, Alane Salierno; Felman, Dedi; Schnee, Samantha",,,,,,,,,,,,,,
2008,"Al Nasiri, Buthaina",Final night: short stories,978-977-416-115-5,https://www.goodreads.com/book/show/3662006-final-night,"Love and death and the passage between entry into the world and exit from it are the focus of this collection of short stories. Buthaina Al Nasiri is an Iraqi author who has lived in Cairo since 1979. Despite this physical and temporal distance from her homeland, much of her material derives from it and many of the stories in this collection reflect her deeply felt nostalgia for Iraq. In contrast to many contemporary female writers, she confesses to being less interested in the position of women in society than in that of people in general and the sufferings they experience between birth and the end of life. None the less, some of her best stories depict the many-colored relationships that exist between the sexes. Buthaina Al Nasiri's work has been widely translated into European languages, but this is the first volume of her stories to appear in English, for which renowned translator Denys Johnson-Davies has selected work from a career of short-story writing spanning some thirty years.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1393216367l/3662006.jpg,2008,2/23/2022 4:55,,Final night,,American University in Cairo Press,Egypt - Cairo,,English,Open WorldCat,,OCLC: 1292008954,,,,,"Johnson-Davies, Denys",,,,,,,,,,,,
